manufacturer,part #,speed,type,modules,price / gb,color,cas latency,voltage,timing,ecc / registered,heat spreader,prices,rating,reviews
team,tf2d416g3600hc18edc01,ddr4-3600,288-pin dimm,2 x 8gb,$7.312,white,18,1.35 v,18-20-20-44,non-ecc / unbuffered,yes,$116.99,"(1 Rating, 5.0 Average)","Just basic 16 Gig kit from Team T-Force i went with this primarily for the color and RGB. There is definetly much cheaper options for a 16 gig 3600 Mhz kit but, this kit works great and looks great"
g.skill,f4-2133c15s-4gis,ddr4-2133,288-pin dimm,1 x 4gb,,black / red,15,1.2 v,,non-ecc / unbuffered,yes,,"(1 Rating, 5.0 Average)","Came in the mail last night, and it is working like a boss!"
g.skill,f4-3200c16d-16gsxfb,ddr4-3200,288-pin dimm,2 x 8gb,$11.812,black / camo,16,1.35 v,16-18-18-38,non-ecc / unbuffered,yes,$189.00,(0 Ratings),
g.skill,f4-2666c15d-16gvr,ddr4-2666,288-pin dimm,2 x 8gb,$4.249,black / red,15,1.2 v,,non-ecc / unbuffered,yes,"$67.99,$74.53","(16 Ratings, 4.9 Average)","Lifetime warranty, speedy performance. Nothing more to say.,Fast 2666 16GB RAM for quite cheap from a nice brand with good asthetics.,Great RAM, although my motherboard didn't detect correct speed, it was really easy to get it to proper speed.,I got this RAM cheap for about £80 so it was a great deal. High speed, works fine, looks good and a reputable manafacturer - what more can I say?,A little expensive but that is to be expected with the current cryptocraze going on. It runs without issue at advertised speeds and looks very nice. They doing feel as flimsy as some of the cheaper ran sticks I have used in the past.,Does its job well ,After looking around for ram that was compatible with my mobo, I ended up getting these bad boys. These are super fast and I used the XMP to get to 2666 and I am more than pleased with the speed. Paid: $174.95,No complaints. Good RAM. Fast. Does the job. Bang for buck.,These are the greatest memory sticks that money can buy. I'm a fan for life.,I almost couldn't afford a 2x8 kit, but these came on sale the week of Black Friday on Newegg so I jumped at them. I did need to adjust my RAM speed in the UEFI since the default had it reading 2133, but that was easy enough."
corsair,tr3x6g1600c8,ddr3-1600,240-pin dimm,3 x 2gb,,black / blue,8,1.65 v,8-8-8-24,non-ecc / unbuffered,yes,,(0 Ratings),
g.skill,f2-5300cl4d-4gbsq,ddr2-667,200-pin sodimm,2 x 2gb,,green,4,1.8 v,,non-ecc / unbuffered,no,,(0 Ratings),
mushkin,994110f,ddr3-1600,240-pin dimm,4 x 8gb,,black / white,9,1.35 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,994119,ddr3-1866,240-pin dimm,4 x 8gb,,red,9,1.5 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,997119,ddr3-1866,240-pin dimm,2 x 8gb,,red,9,1.5 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,996969,ddr3-1600,240-pin dimm,2 x 4gb,,black,10,1.65 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,998969,ddr3-1600,240-pin dimm,3 x 4gb,,black,10,1.65 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,994092f,ddr3-2400,240-pin dimm,4 x 4gb,,yellow,11,1.65 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,993988f,ddr3-1600,240-pin dimm,4 x 4gb,,black / white,9,1.35 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,997092y,ddr3-2400,240-pin dimm,2 x 4gb,,yellow,11,1.65 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,993990,ddr3-2000,240-pin dimm,4 x 4gb,,black / white,9,1.65 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,994092y,ddr3-2400,240-pin dimm,4 x 4gb,,black / white,11,1.65 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,994123y,ddr3-2400,240-pin dimm,4 x 8gb,,yellow,11,1.65 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,997123y,ddr3-2400,240-pin dimm,2 x 8gb,,yellow,11,1.65 v,,non-ecc / unbuffered,yes,,(0 Ratings),
g.skill,f3-3100c12d-8gtxdg,ddr3-3100,240-pin dimm,2 x 4gb,,black / red,12,1.65 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,993991,ddr3-2000,240-pin dimm,4 x 4gb,,black,9,1.65 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,997164,ddr3-2133,240-pin dimm,2 x 4gb,,black,10,1.6 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,997164r,ddr3-2133,240-pin dimm,2 x 4gb,,black,10,1.6 v,,non-ecc / unbuffered,yes,,(0 Ratings),
kingston,kvr18r13d8/8,ddr3-1866,240-pin dimm,1 x 8gb,,green,13,1.5 v,,ecc / registered,no,,(0 Ratings),
mushkin,994164s,ddr3-2133,240-pin dimm,4 x 4gb,,black,10,1.6 v,,non-ecc / unbuffered,yes,,(0 Ratings),
kingston,ktd-pe316llq/32g,ddr3-1600,240-pin dimm,1 x 32gb,$6.358,silver,11,1.35 v,,ecc / registered,yes,$203.47,(0 Ratings),
mushkin,997164y,ddr3-2133,240-pin dimm,2 x 4gb,,yellow,10,1.6 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,994164y,ddr3-2133,240-pin dimm,4 x 4gb,,yellow,10,1.6 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,994164,ddr3-2133,240-pin dimm,4 x 4gb,,black,10,1.6 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,994164r,ddr3-2133,240-pin dimm,4 x 4gb,,black,10,1.6 v,,non-ecc / unbuffered,yes,,(0 Ratings),
team,txwd316g2666hc11cdc01,ddr3-2666,240-pin dimm,2 x 8gb,,blue / white,11,1.65 v,,non-ecc / unbuffered,yes,,(0 Ratings),
g.skill,f3-1333c9q-32grsl,ddr3-1333,204-pin sodimm,4 x 8gb,,black / red,9,1.35 v,,non-ecc / unbuffered,yes,,(0 Ratings),
g.skill,f3-2133c11q-32grsl,ddr3-2133,204-pin sodimm,4 x 8gb,,black / red,11,1.35 v,,non-ecc / unbuffered,yes,,(0 Ratings),
g.skill,f3-1866c11q-32grsl,ddr3-1866,204-pin sodimm,4 x 8gb,,black / red,11,1.35 v,,non-ecc / unbuffered,yes,,(0 Ratings),
kingston,kvr18r13d4/16kf,ddr3-1866,240-pin dimm,1 x 16gb,,green,13,1.5 v,,ecc / registered,no,,(0 Ratings),
kingston,kvr18r13d8/8kf,ddr3-1866,240-pin dimm,1 x 8gb,,green,13,1.5 v,,ecc / registered,no,,(0 Ratings),
crucial,ct2k8g4rfs4213,ddr4-2133,288-pin dimm,2 x 8gb,,green,15,1.2 v,,ecc / registered,no,,(0 Ratings),
amd,r534g1601s1l,ddr3-1600,204-pin sodimm,1 x 4gb,,black / red,11,1.35 v,,non-ecc / unbuffered,yes,,(0 Ratings),
amd,r538g1601s1lk,ddr3-1600,204-pin sodimm,2 x 4gb,,black / red,11,1.35 v,,non-ecc / unbuffered,yes,,(0 Ratings),
amd,r538g1601s2l,ddr3-1600,204-pin sodimm,1 x 8gb,,black / red,11,1.35 v,,non-ecc / unbuffered,yes,,(0 Ratings),
kingston,kvr18r13d4k3/48,ddr3-1866,240-pin dimm,3 x 16gb,$14.568,blue,13,1.5 v,,ecc / registered,no,$699.28,(0 Ratings),
pny,md32768k4d3-1866-x9,ddr3-1866,240-pin dimm,4 x 8gb,,black / silver,9,1.5 v,,non-ecc / unbuffered,yes,,(0 Ratings),
kingston,kvr16r11s4k3/24,ddr3-1600,240-pin dimm,3 x 8gb,$14.428,green,11,1.5 v,,ecc / registered,no,$346.28,(0 Ratings),
pny,mn4096sd3-1600-lv,ddr3-1600,204-pin sodimm,1 x 4gb,,black / green,11,1.35 v,,non-ecc / unbuffered,no,,(0 Ratings),
kingston,kvr16r11s4k4/32,ddr3-1600,240-pin dimm,4 x 8gb,$14.134,black / green,11,1.5 v,,ecc / registered,no,$452.28,(0 Ratings),
v7,v73t2gnzbii,ddr3-1333,240-pin dimm,1 x 2gb,,black / green,9,1.5 v,,non-ecc / unbuffered,no,,(0 Ratings),
pny,md32768k4d3-1600-x9,ddr3-1600,240-pin dimm,4 x 8gb,,black / white,9,1.5 v,,non-ecc / unbuffered,yes,,(0 Ratings),
kingston,kvr16r11s4/8,ddr3-1600,240-pin dimm,1 x 8gb,$9.998,green,11,1.5 v,,ecc / registered,no,$79.98,(0 Ratings),
crucial,ct25664ba1339a,ddr3-1333,240-pin dimm,1 x 2gb,,black / green,9,1.5 v,,non-ecc / unbuffered,no,,(0 Ratings),
kingston,kvr16r11d8/8i,ddr3-1600,240-pin dimm,1 x 8gb,,green,11,1.5 v,,ecc / registered,no,,(0 Ratings),
kingston,kvr16lr11d8/8i,ddr3-1600,240-pin dimm,1 x 8gb,$17.160,green,11,1.35 v,,ecc / registered,no,$137.28,(0 Ratings),
kingston,kvr13lr9d8/8ef,ddr3-1333,240-pin dimm,1 x 8gb,,green,9,1.35 v,,ecc / registered,no,,(0 Ratings),
kingston,kvr13lr9d8/8,ddr3-1333,240-pin dimm,1 x 8gb,$16.910,green,9,1.35 v,,ecc / registered,no,$135.28,(0 Ratings),
kingston,kvr13lr9q8/16,ddr3-1333,240-pin dimm,1 x 16gb,$14.080,green,9,1.35 v,,ecc / registered,no,$225.28,(0 Ratings),
kingston,kvr13lse9s8/4,ddr3-1333,204-pin sodimm,1 x 4gb,$20.570,green,9,1.35 v,,ecc / unbuffered,no,$82.28,(0 Ratings),
kingston,kvr13ll9q4/32i,ddr3-1333,240-pin dimm,1 x 32gb,,white,9,1.35 v,,ecc / unbuffered,yes,,(0 Ratings),
kingston,kvr16lse11/4kf,ddr3-1600,204-pin sodimm,1 x 4gb,$20.820,green,11,1.35 v,,ecc / unbuffered,no,$83.28,(0 Ratings),
kingston,kvr16lr11d8/8,ddr3-1600,240-pin dimm,1 x 8gb,$16.785,green,11,1.35 v,,ecc / registered,no,$134.28,(0 Ratings),
corsair,cmso4gx3m1a1333c9,ddr3-1333,204-pin sodimm,1 x 4gb,$5.997,green,9,1.5 v,9-9-9-24,non-ecc / unbuffered,no,"$23.99,$24.98,$24.99",(0 Ratings),
kingston,kvr21se15d8/8,ddr4-2133,260-pin sodimm,1 x 8gb,,black / green,15,1.2 v,,ecc / unbuffered,no,,(0 Ratings),
patriot,psd34g13332s,ddr3-1333,204-pin sodimm,1 x 4gb,$4.995,blue,9,1.5 v,,non-ecc / unbuffered,no,"$19.98,$19.99",(0 Ratings),
g.skill,fa-1600c11d-8gsq,ddr3-1600,204-pin sodimm,2 x 4gb,,black / green,11,1.5 v,,non-ecc / unbuffered,no,,(0 Ratings),
g.skill,fa-1600c11d-16gsq,ddr3-1600,204-pin sodimm,2 x 8gb,,black / green,11,1.5 v,,non-ecc / unbuffered,no,,(0 Ratings),
g.skill,f2-6400cl5s-2gbsk,ddr2-800,200-pin sodimm,1 x 2gb,$11.495,black / silver,5,1.8 v,,non-ecc / unbuffered,yes,$22.99,(0 Ratings),
kingston,hx318ls11ib/8,ddr3-1866,204-pin sodimm,1 x 8gb,$5.666,black / white,11,1.35 v,,non-ecc / unbuffered,yes,"$45.33,$46.18",(0 Ratings),
kingston,hx313c9fw/8,ddr3-1333,240-pin dimm,1 x 8gb,$5.415,white / silver,9,1.5 v,,non-ecc / unbuffered,yes,"$43.32,$43.32","(1 Rating, 5.0 Average)",Great RAM by kingston need-less to say more
mushkin,994119r,ddr3-1866,240-pin dimm,4 x 8gb,,red,9,1.5 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,994112,ddr3-1600,240-pin dimm,4 x 8gb,,black,9,1.35 v,,non-ecc / unbuffered,yes,,"(1 Rating, 3.0 Average)","Pretty stable, looks good, and hasn't had any errors. Does not overclock well, and is very expensive. If you're in the market for RAM, look elsewhere. If you find this kit for cheap, however, I wouldn't hesitate. It's a decent performer. "
mushkin,997119r,ddr3-1866,240-pin dimm,2 x 8gb,,red,9,1.5 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,994069y,ddr3-1600,240-pin dimm,4 x 8gb,,yellow,9,1.5 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,994008,ddr3-1866,240-pin dimm,4 x 4gb,,red,9,1.5 v,,non-ecc / unbuffered,yes,,(0 Ratings),
kingston,kvr18r13s4/8kf,ddr3-1866,240-pin dimm,1 x 8gb,$9.123,green,13,1.5 v,,ecc / registered,no,$72.98,(0 Ratings),
mushkin,997069y,ddr3-1600,240-pin dimm,2 x 8gb,,yellow,9,1.5 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,994123f,ddr3-2400,240-pin dimm,4 x 8gb,,black / white,11,1.65 v,,non-ecc / unbuffered,yes,,(0 Ratings),
kingston,kvr18l13q4/32,ddr3-1866,240-pin dimm,1 x 32gb,$11.077,gray,13,1.5 v,,ecc / unbuffered,yes,$354.47,(0 Ratings),
crucial,ct2k4g4rfs8213,ddr4-2133,288-pin dimm,2 x 4gb,,green,15,1.2 v,,ecc / registered,no,,(0 Ratings),
pny,md4096sd3-1600-x9,ddr3-1600,240-pin dimm,1 x 4gb,,black / silver,9,1.65 v,,non-ecc / unbuffered,yes,,"(2 Ratings, 3.5 Average)",
pny,mn8192kd3-1600-lv,ddr3-1600,204-pin sodimm,2 x 4gb,,black / green,11,1.35 v,,non-ecc / unbuffered,no,,(0 Ratings),
kingston,kvr13lse9/8,ddr3-1333,204-pin sodimm,1 x 8gb,$13.059,green,9,1.35 v,,ecc / unbuffered,no,$104.47,(0 Ratings),
kingston,kvr16r11d8k4/32i,ddr3-1600,240-pin dimm,4 x 8gb,,green,11,1.5 v,,ecc / registered,no,,(0 Ratings),
kingston,kvr16lr11s4k4/32i,ddr3-1600,240-pin dimm,4 x 8gb,,green,11,1.35 v,,ecc / registered,no,,(0 Ratings),
kingston,kvr16r11s4k4/32i,ddr3-1600,240-pin dimm,4 x 8gb,,green,11,1.5 v,,ecc / registered,no,,(0 Ratings),
kingston,kvr16ll11q4/32,ddr3-1600,240-pin dimm,1 x 32gb,,white,11,1.35 v,,ecc / unbuffered,yes,,(0 Ratings),
crucial,ct2kit51264bf1339j,ddr3-1333,204-pin sodimm,2 x 4gb,$6.411,black / green,9,1.35 v,,non-ecc / unbuffered,no,$51.29,(0 Ratings),
kingston,kvr16r11s4/8i,ddr3-1600,240-pin dimm,1 x 8gb,$5.374,green,11,1.5 v,,ecc / registered,no,$42.99,(0 Ratings),
mushkin,997170,ddr3-2133,240-pin dimm,2 x 8gb,,red / silver,9,1.6 v,,non-ecc / unbuffered,yes,,(0 Ratings),
amd,r338g1339u1k,ddr3-1333,240-pin dimm,2 x 4gb,,black / red,9,1.5 v,,non-ecc / unbuffered,yes,,(0 Ratings),
amd,r3316g1339u2k,ddr3-1333,240-pin dimm,2 x 8gb,,black / red,9,1.5 v,,non-ecc / unbuffered,yes,,(0 Ratings),
amd,r334g1339u1,ddr3-1333,240-pin dimm,1 x 4gb,,black / red,9,1.5 v,,non-ecc / unbuffered,yes,,(0 Ratings),
mushkin,994165r,ddr3-1600,240-pin dimm,4 x 4gb,,red / silver,7,1.55 v,,non-ecc / unbuffered,yes,,(0 Ratings),
team,txd38g2666hc10qdc01,ddr3-2666,240-pin dimm,2 x 4gb,,red / black,10,1.65 v,10-12-12-31,non-ecc / unbuffered,yes,,(0 Ratings),
team,txd316g2600hc10qqc01,ddr3-2600,240-pin dimm,4 x 4gb,,red / black,10,1.65 v,10-12-12-31,non-ecc / unbuffered,yes,,(0 Ratings),
team,tlyed316g2133hc11adc01,ddr3-2133,240-pin dimm,2 x 8gb,,gold,11,1.65 v,11-11-11-31,non-ecc / unbuffered,yes,,(0 Ratings),
corsair,cmd64gx3m8a2400c11,ddr3-2400,240-pin dimm,8 x 8gb,,black / silver,9,1.65 v,9-9-9-24,non-ecc / unbuffered,yes,,(0 Ratings),
team,tdprd48g3200hc16adc01,ddr4-3200,288-pin dimm,2 x 4gb,,black / red,16,1.35 v,16-16-16-36,non-ecc / unbuffered,yes,,(0 Ratings),
crucial,ble2cp4g3d2001ce1tx0ceu,ddr3-2000,240-pin dimm,2 x 4gb,,black,9,1.6 v,9-1-9-24,non-ecc / unbuffered,yes,,(0 Ratings),
avexir,avd4uz132001608g-4bz1sw,ddr4-3200,288-pin dimm,4 x 8gb,,black / silver,16,1.35 v,16-18-18-36,non-ecc / unbuffered,yes,,(0 Ratings),
avexir,avd4uz130001608g-2rdgt,ddr4-3000,288-pin dimm,2 x 8gb,,black / green,16,1.35 v,16-16-16-36,non-ecc / unbuffered,yes,,(0 Ratings),
avexir,avd4uz130001604g-2rdgt,ddr4-3000,288-pin dimm,2 x 4gb,,black / green,16,1.35 v,16-16-16-35,non-ecc / unbuffered,yes,,(0 Ratings),
avexir,avd4uz130001604g-2rd,ddr4-3000,288-pin dimm,2 x 4gb,,white / blue,16,1.35 v,16-16-16-36,non-ecc / unbuffered,yes,,(0 Ratings),
avexir,avd4uz126661508g-4rdrog,ddr4-2666,288-pin dimm,4 x 8gb,,black / red,15,1.2 v,15-15-15-35,non-ecc / unbuffered,yes,,(0 Ratings),
avexir,avd3u26661204g-2cir,ddr3-2666,240-pin dimm,2 x 4gb,,black / red,12,1.65 v,12-14-14-35,non-ecc / unbuffered,yes,,(0 Ratings),
avexir,avd3u24001008g-2bz1,ddr3-2400,240-pin dimm,2 x 8gb,,black / red,10,1.65 v,10-12-12-31,non-ecc / unbuffered,yes,,(0 Ratings),
avexir,avd3u21331108g-2cig,ddr3-2133,240-pin dimm,2 x 8gb,,black / green,11,1.65 v,11-11-11-31,non-ecc / unbuffered,yes,,(0 Ratings),
avexir,avd3u21330904g-2bz1,ddr3-2133,240-pin dimm,2 x 4gb,,black / red,9,1.65 v,9-11-10-27,non-ecc / unbuffered,yes,,(0 Ratings),
crucial,blt4kit8g3d1608dt1tx0,ddr3-1600,240-pin dimm,4 x 8gb,,black / yellow,8,1.5 v,,non-ecc / unbuffered,yes,,(0 Ratings),
crucial,ct2k8g3ersld4160b,ddr3-1600,240-pin dimm,2 x 8gb,$10.562,green,11,1.35 v,,ecc / registered,no,$168.99,(0 Ratings),
geil,gapr416gb2133c15dc,ddr4-2133,288-pin dimm,2 x 8gb,,red / black,15,1.2 v,15-15-15-36,non-ecc / unbuffered,yes,,(0 Ratings),
kingston,hx313c9fr/8,ddr3-1333,240-pin dimm,1 x 8gb,,red / silver,9,1.5 v,,non-ecc / unbuffered,yes,,"(1 Rating, 5.0 Average)",
g.skill,f3-12800cl9s-4gbsr,ddr3-1600,240-pin dimm,1 x 4gb,,black / red,9,1.5 v,,non-ecc / unbuffered,yes,,"(1 Rating, 5.0 Average)",
wintec,3vhl160011s9-8gr,ddr3-1600,204-pin sodimm,1 x 8gb,,black / green,11,1.35 v,,non-ecc / unbuffered,no,,(0 Ratings),
wintec,3ol160011s9h-16gk,ddr3-1600,204-pin sodimm,2 x 8gb,,black / green,11,1.35 v,,non-ecc / unbuffered,yes,,(0 Ratings),
v7,v7192008gbs,ddr4-2400,260-pin sodimm,1 x 8gb,$4.875,green / black,17,1.2 v,,non-ecc / unbuffered,no,"$39.00,$49.98,$75.60",(0 Ratings),
crucial,ble4kit4g3d1608de1tx0,ddr3-1600,240-pin dimm,4 x 4gb,,black,8,1.5 v,,non-ecc / unbuffered,yes,,(0 Ratings),
edge tech,pe254131,ddr4-2666,288-pin dimm,1 x 8gb,$9.325,green / black,,1.2 v,,ecc / registered,no,$74.60,(0 Ratings),
geil,glws48gb2133c15dc,ddr4-2133,288-pin dimm,2 x 4gb,,white,15,1.2 v,15-15-15-36,non-ecc / unbuffered,yes,,(0 Ratings),
geil,galww432gb2133c15dc,ddr4-2133,288-pin dimm,2 x 16gb,,white,15,1.2 v,15-15-15-36,non-ecc / unbuffered,yes,,(0 Ratings),
geil,galws48gb2400c16dc,ddr4-2400,288-pin dimm,2 x 4gb,,white,16,1.2 v,16-16-16-36,non-ecc / unbuffered,yes,,(0 Ratings),
geil,galws416gb2133c15dc,ddr4-2133,288-pin dimm,2 x 8gb,,white,15,1.2 v,15-15-15-36,non-ecc / unbuffered,yes,,(0 Ratings),
geil,galw432gb2400c16dc,ddr4-2400,288-pin dimm,2 x 16gb,,black / white,15,1.2 v,15-15-15-36,non-ecc / unbuffered,yes,,(0 Ratings),
g.skill,f4-3600c19q-64gsxk,ddr4-3600,288-pin dimm,4 x 16gb,,black / camo,19,1.35 v,19-19-19-39,non-ecc / unbuffered,yes,,(0 Ratings),
g.skill,f4-3600c19q-32gsxf,ddr4-3600,288-pin dimm,4 x 8gb,,black / camo,19,1.35 v,19-19-19-39,non-ecc / unbuffered,yes,,(0 Ratings),
g.skill,f4-2933c16q-64gfx,ddr4-2933,288-pin dimm,4 x 16gb,,black,16,1.35 v,16-16-16-36,non-ecc / unbuffered,yes,,(0 Ratings),
g.skill,f4-2933c14q-32gfx,ddr4-2933,288-pin dimm,4 x 8gb,,black,14,1.35 v,14-14-14-34,non-ecc / unbuffered,yes,,(0 Ratings),
g.skill,f4-2400c17q-32gsxk,ddr4-2400,288-pin dimm,4 x 8gb,,black / camo,17,1.2 v,17-17-17-39,non-ecc / unbuffered,yes,,(0 Ratings),
crucial,ct2k8g3ersls4160b,ddr3-1600,240-pin dimm,2 x 8gb,$13.569,green / black,11,1.35 v,,ecc / registered,no,$217.11,(0 Ratings),
crucial,ct2k8g3ersld8160b,ddr3-1600,240-pin dimm,2 x 8gb,,green / black,11,1.35 v,,ecc / registered,no,,(0 Ratings),
crucial,ct2k25664bd160ba,ddr3-1600,240-pin dimm,2 x 2gb,,green / black,11,1.35 v,,non-ecc / unbuffered,no,,(0 Ratings),
crucial,ct2k16g3s186dm,ddr3-1866,204-pin sodimm,2 x 16gb,,green / black,13,1.35 v,,non-ecc / unbuffered,no,,(0 Ratings),
corsair,cmu32gx4m4d3200c16r,ddr4-3200,288-pin dimm,4 x 8gb,,black / red,16,1.35 v,16-19-19-36,non-ecc / unbuffered,yes,,(0 Ratings),
corsair,cmu32gx4m4c3000c16r,ddr4-3000,288-pin dimm,4 x 8gb,,black / red,16,1.35 v,16-18-18-36,non-ecc / unbuffered,yes,,(0 Ratings),
corsair,cmu32gx4m4c3000c16b,ddr4-3000,288-pin dimm,4 x 8gb,,black / blue,16,1.35 v,16-18-18-36,non-ecc / unbuffered,yes,,(0 Ratings),
corsair,cmu32gx4m2c3000c16,ddr4-3000,288-pin dimm,2 x 8gb,,black,16,1.35 v,16-18-18-36,non-ecc / unbuffered,yes,,(0 Ratings),
corsair,cmu16gx4m2c3000c16b,ddr4-3000,288-pin dimm,2 x 8gb,,black,16,1.35 v,16-18-18-36,non-ecc / unbuffered,yes,,(0 Ratings),
adata,ax4u2666316g16-dbg,ddr4-2666,288-pin dimm,2 x 8gb,,black / white,16,1.2 v,,non-ecc / unbuffered,yes,,(0 Ratings),
patriot,px34g1333c9 bundle,ddr3-1333,240-pin dimm,2 x 4gb,,black / silver,9,1.5 v,,non-ecc / unbuffered,yes,,(0 Ratings),
corsair,cmd16gx3m2a1600c7,ddr3-1600,240-pin dimm,2 x 8gb,,black / silver,9,1.5 v,9-9-9-24,non-ecc / unbuffered,yes,,"(5 Ratings, 5.0 Average)","This ram is fast, and to me is the best looking as well."
corsair,cmd8gx3m2a2133c8,ddr3-2133,240-pin dimm,2 x 4gb,,black / silver,9,1.65 v,9-9-9-24,non-ecc / unbuffered,yes,,"(1 Rating, 5.0 Average)",
kingston,khx18c10/8,ddr3-1866,240-pin dimm,1 x 8gb,,blue / silver,10,1.5 v,,non-ecc / unbuffered,yes,,"(1 Rating, 3.0 Average)","Is not my RAM. My exact model is not in PcPP database. Anyway is a DDR3 8Gb, so no complaint about it."
adata,ax3u1866w4g10-dmv,ddr3-1866,240-pin dimm,2 x 4gb,,black / silver,10,1.5 v,,non-ecc / unbuffered,yes,,(0 Ratings),
kingston,kvr13lr9s4/8ha,ddr3-1333,240-pin dimm,1 x 8gb,$6.124,green,9,1.35 v,,ecc / registered,no,$48.99,(0 Ratings),
patriot,pvl316g213c1kr,ddr3-2133,240-pin dimm,2 x 8gb,,black / red,11,1.5 v,,non-ecc / unbuffered,yes,,"(2 Ratings, 5.0 Average)",
patriot,pvl316g186c0kr,ddr3-1866,240-pin dimm,2 x 8gb,,black / red,10,1.5 v,,non-ecc / unbuffered,yes,,"(1 Rating, 5.0 Average)",Fits under nhd 15.
mushkin,997133,ddr3-1866,204-pin sodimm,2 x 4gb,,black / green,13,1.5 v,,non-ecc / unbuffered,no,,(0 Ratings),
corsair,cmd32gx3m4a2666c12,ddr3-2666,240-pin dimm,4 x 8gb,,black / silver,12,1.65 v,12-14-14-36,non-ecc / unbuffered,yes,,(0 Ratings),
kingston,kvr13r9d4k3/48,ddr3-1333,240-pin dimm,3 x 16gb,$12.881,green,9,1.5 v,,ecc / registered,no,$618.28,(0 Ratings),
